product,reviewer,city,state,rating,review,review_type
Black Pepper + Coriander,Sample Customer 063,Varanasi,Uttar Pradesh,4,"I was mainly looking for a fresh spice and this did the job. The pepper and coriander flavours complement each other nicely. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 064,Mumbai,Maharashtra,5,The pack was properly sealed and easy to store. Convenient combo when making gravies and marinades. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 065,Ranchi,Jharkhand,5,Packaging was neat and the product reached me in good condition. The pepper and coriander flavours complement each other nicely. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Coriander,Sample Customer 066,Kochi,Kerala,3,"I have been using this in everyday cooking and it has worked well. The pepper and coriander flavours complement each other nicely. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 001,Dehradun,Uttarakhand,5,"This has become a regular item in my kitchen. I liked having three commonly used spices in one order. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 002,Pune,Maharashtra,5,"Tried this for the first time and the quality surprised me. A practical combo for curries, pulao and everyday masalas. Used it in dal and sabzi and liked the result.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 003,Patna,Bihar,5,Bought this along with a few other Dishu products. The flavours work nicely together without making dishes taste too strong. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 004,Thiruvananthapuram,Kerala,5,"I was mainly looking for a fresh spice and this did the job. A practical combo for curries, pulao and everyday masalas. I would be comfortable buying this again.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 005,Chandigarh,Chandigarh,5,I liked the freshness of the powder. The flavours work nicely together without making dishes taste too strong. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 006,Varanasi,Uttar Pradesh,5,I liked the freshness of the powder. I liked having three commonly used spices in one order. Good addition to the kitchen shelf.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 007,Mumbai,Maharashtra,4,Packaging was neat and the product reached me in good condition. The flavours work nicely together without making dishes taste too strong. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 008,Ranchi,Jharkhand,5,This has become a regular item in my kitchen. The flavours work nicely together without making dishes taste too strong. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 009,Kochi,Kerala,5,"The flavour is quite natural and not overpowering. The flavours work nicely together without making dishes taste too strong. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 010,Ludhiana,Punjab,5,"Packaging was neat and the product reached me in good condition. A practical combo for curries, pulao and everyday masalas. Would consider ordering it again.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 011,Lucknow,Uttar Pradesh,3,"I was mainly looking for a fresh spice and this did the job. A practical combo for curries, pulao and everyday masalas. The quality felt consistent across the pack.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 012,Surat,Gujarat,5,"I was mainly looking for a fresh spice and this did the job. A practical combo for curries, pulao and everyday masalas. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 013,Bhubaneswar,Odisha,5,"I have been using this in everyday cooking and it has worked well. A practical combo for curries, pulao and everyday masalas. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 014,Coimbatore,Tamil Nadu,4,The pack was properly sealed and easy to store. I liked having three commonly used spices in one order. Good addition to the kitchen shelf.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 015,Amritsar,Punjab,5,Tried this for the first time and the quality surprised me. The flavours work nicely together without making dishes taste too strong. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 016,Noida,Uttar Pradesh,5,"The aroma was noticeable as soon as I opened the pack. A practical combo for curries, pulao and everyday masalas. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 017,Ahmedabad,Gujarat,5,Good option for everyday Indian cooking. I liked having three commonly used spices in one order. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 018,Kolkata,West Bengal,5,Packaging was neat and the product reached me in good condition. The flavours work nicely together without making dishes taste too strong. Good addition to the kitchen shelf.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 019,Chennai,Tamil Nadu,5,"The flavour is quite natural and not overpowering. The flavours work nicely together without making dishes taste too strong. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 020,Raipur,Chhattisgarh,5,This has become a regular item in my kitchen. I liked having three commonly used spices in one order. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 021,Gurugram,Haryana,4,I was mainly looking for a fresh spice and this did the job. The flavours work nicely together without making dishes taste too strong. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 022,Srinagar,Jammu & Kashmir,3,"The taste felt balanced in the dishes I made. The flavours work nicely together without making dishes taste too strong. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 023,Bhopal,Madhya Pradesh,5,"I have been using this in everyday cooking and it has worked well. A practical combo for curries, pulao and everyday masalas. Happy with the first order.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 024,Hyderabad,Telangana,5,"I have been using this in everyday cooking and it has worked well. A practical combo for curries, pulao and everyday masalas. The quality felt consistent across the pack.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 025,Goa,Goa,5,I have been using this in everyday cooking and it has worked well. The flavours work nicely together without making dishes taste too strong. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 026,New Delhi,Delhi,5,"Packaging was neat and the product reached me in good condition. A practical combo for curries, pulao and everyday masalas. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 027,Jammu,Jammu & Kashmir,5,Good option for everyday Indian cooking. The flavours work nicely together without making dishes taste too strong. The quality felt consistent across the pack.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 028,Indore,Madhya Pradesh,4,"The aroma was noticeable as soon as I opened the pack. A practical combo for curries, pulao and everyday masalas. Used it in dal and sabzi and liked the result.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 029,Bengaluru,Karnataka,5,"The flavour is quite natural and not overpowering. I liked having three commonly used spices in one order. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 030,Visakhapatnam,Andhra Pradesh,5,I liked the freshness of the powder. I liked having three commonly used spices in one order. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 031,Jodhpur,Rajasthan,5,"I liked the freshness of the powder. A practical combo for curries, pulao and everyday masalas. Good addition to the kitchen shelf.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 032,Shimla,Himachal Pradesh,5,"Bought this along with a few other Dishu products. The flavours work nicely together without making dishes taste too strong. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 033,Nagpur,Maharashtra,3,"The pack was properly sealed and easy to store. A practical combo for curries, pulao and everyday masalas. I would be comfortable buying this again.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 034,Guwahati,Assam,5,The taste felt balanced in the dishes I made. I liked having three commonly used spices in one order. It worked nicely in home-style cooking.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 035,Vijayawada,Andhra Pradesh,4,"This has become a regular item in my kitchen. A practical combo for curries, pulao and everyday masalas. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 036,Jaipur,Rajasthan,5,"Tried this for the first time and the quality surprised me. The flavours work nicely together without making dishes taste too strong. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 037,Dehradun,Uttarakhand,5,Packaging was neat and the product reached me in good condition. I liked having three commonly used spices in one order. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 038,Pune,Maharashtra,5,"I have been using this in everyday cooking and it has worked well. I liked having three commonly used spices in one order. Overall, a pleasant purchase.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 039,Patna,Bihar,5,"I have been using this in everyday cooking and it has worked well. A practical combo for curries, pulao and everyday masalas. Good addition to the kitchen shelf.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 040,Thiruvananthapuram,Kerala,5,"This has become a regular item in my kitchen. A practical combo for curries, pulao and everyday masalas. The quality felt consistent across the pack.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 041,Chandigarh,Chandigarh,5,The pack was properly sealed and easy to store. The flavours work nicely together without making dishes taste too strong. Would consider ordering it again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 042,Varanasi,Uttar Pradesh,4,This has become a regular item in my kitchen. The flavours work nicely together without making dishes taste too strong. Happy with the first order.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 043,Mumbai,Maharashtra,5,"I was mainly looking for a fresh spice and this did the job. A practical combo for curries, pulao and everyday masalas. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 044,Ranchi,Jharkhand,3,The aroma was noticeable as soon as I opened the pack. The flavours work nicely together without making dishes taste too strong. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 045,Kochi,Kerala,5,"Good option for everyday Indian cooking. The flavours work nicely together without making dishes taste too strong. Simple product, good flavour, and useful for daily meals.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 046,Ludhiana,Punjab,5,"I liked the freshness of the powder. The flavours work nicely together without making dishes taste too strong. So far, a good experience.",SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
Black Pepper + Garam Masala + Coriander,Sample Customer 047,Lucknow,Uttar Pradesh,5,I liked the freshness of the powder. I liked having three commonly used spices in one order. I would be comfortable buying this again.,SYNTHETIC SAMPLE — NOT A REAL CUSTOMER REVIEW
