Area,Finding,"bluetea.co.in (reference)","dishumasala (current)",Severity,Verdict,"Recommended action"
Trust,Benefit line per card,"Every card: 'Brightens Skin | Reduces Acne', 'Metabolic Support | Boosts Immunity'","None — card carries collection chip, name, variant chip, price",Medium,GAP,"Add a short benefit line per product, sourced from real product copy only (§8 forbids inventing health claims)"
Interruption,Entry popup,"No popup on load","FreeGiftPopup fires 5.5s after load; on mobile it covers essentially the entire first viewport including the hero and category circles",High,GAP,"Delay to scroll-depth or exit-intent, suppress on first page of a session, and never cover the hero on mobile"
Setup,Category circles empty,"n/a","Five grey circles with no imagery — scripts/migrate-category-circles.ts reads from ~/Downloads/category/1.png..5.png, a path outside the repo that exists on no other machine",High,DEFECT,"Move the source images into data/ and point the script at them. Currently unreproducible on any other machine or in CI"
Setup,Corporate gifting hero missing,"n/a","Hero rendered as a grey-to-beige placeholder gradient",High,FIXED,"Ran scripts/migrate-corporate-gifting-hero.ts — hero now renders correctly"
Setup,Spices page banner missing,"n/a","settings.spices_page_banner absent",Medium,FIXED,"Ran pnpm migrate-spices-page-banner — banner now present"
Setup,Migration script not registered,"n/a","scripts/migrate-corporate-gifting-hero.ts exists but has no package.json entry, so pnpm cannot run it",Low,DEFECT,"Add the script to package.json alongside the other migrate-* entries"
Navigation,Header treatment,"Centered logo, centered single-row uppercase nav, minimal icons","Left logo, left nav, right icon cluster — denser but clear",Low,DIFFERENT,"No action. Ours is a legitimate alternative and arguably more scannable"
Navigation,Shop by concern,"Benefit-led collections in nav (wellness, sleep, skin, immunity)","Product-type led (Blue Tea, Spices, Red Tea, Combo Packs, Classic & Assam)",Medium,GAP,"Merchandising, not catalogue: concern-led landing pages over existing products would add strong long-tail SEO"
Strengths,PDP density,"6775px — long, review-heavy","4711px — tighter and better organised with a clean accordion structure",-,AHEAD,"No action"
Strengths,Design token discipline,"Theme-driven, generic blue + yellow","Only 3 hardcoded hex literals across all of components/ and app/; everything else token-driven",-,AHEAD,"No action — this is genuinely excellent and rare"
Strengths,Brand identity,"Generic wellness blue with yellow CTA — could be any tea brand","The Lemon Shift (butterfly-pea blue to magenta to lemon) is a real, ownable idea grounded in the product's actual chemistry",-,AHEAD,"Protect it. It is the one thing the reference cannot copy"
Strengths,Desktop grid correctness,"Product grid is pinned to the right half at 1440px, leaving the left half empty — a real layout bug","Grid is correctly full-width and balanced",-,AHEAD,"Do not copy their layout"
Strengths,Card information design,"Name, price, stars, benefit","Collection chip, name, variant chip, price, MRP, Save %, 'Inclusive of all taxes', wishlist, Quick add — more informative and GST-honest",-,AHEAD,"No action"
Strengths,Commerce depth,"Standard Shopify checkout","Real per-pincode Shiprocket serviceability and COD availability, guest order lookup, recipes section",-,AHEAD,"No action"
