#,Source,Area,"What changed","File / place","Before","After",Status
1,"Client bug list row 2","Trust strip","Added the fifth trust item the client asked for","components/layout/TrustStrip.tsx","4 items: double-layer packaging, free shipping, free gift, thousands of happy customers","5 items — added 'Sourced from the best specified areas' with a new leaf/origin icon",DONE
14,"User ask — no extra wide spaces","Home sections","Applied the scale to the remaining sections","FounderStory, ComboValue, RitualTeaser, ReviewsEmptyState, CollectionFaq","py-24 / py-20 / py-16 / py-14 mixed","All on py-12 / sm:py-14 / lg:py-16",DONE
15,"User ask — mobile-first","Legibility","Fixed the justified-text rivers on phones","app/globals.css","p { text-align: justify } globally. At 390px with no hyphenation this produced severe uneven word gaps — clearly visible in the founder story","hyphens:auto + text-wrap:pretty added; below 640px body copy falls back to ragged-left. The client's justified look still applies from sm up",DONE
16,"User ask — consistency","Product card","Product card CTA now uses the design system","components/product/ProductCard.tsx","A raw <button> with hand-rolled classes, outline treatment, label 'Quick add'. It bypassed components/ui/Button entirely, losing the system focus ring, active:scale, size scale and disabled handling","<Button variant='gradient' size='sm'> labelled 'Add to cart' — the same treatment and the same word as the PDP and checkout",DONE
17,"Own audit","CSS hygiene","Removed dead keyframes","app/globals.css","@keyframes float-spice still defined for components/sections/FloatingSpiceVectors.tsx, which was deleted","Removed along with its comment",DONE
18,"Own audit","Assets","Ran the corporate gifting hero migration","scripts/migrate-corporate-gifting-hero.ts (run directly)","Gifting page hero rendered as a grey-to-beige placeholder gradient — the migration had never run and has no package.json entry","Hero renders the real client photo. Verified by screenshot",DONE
19,"Own audit","Assets","Ran the spices page banner migration","pnpm migrate-spices-page-banner","settings.spices_page_banner absent","Desktop and mobile banner uploaded and set",DONE
20,"Environment","Build","Repaired the broken dependency install and applied pending migrations","node_modules, DB","An interrupted pnpm install had left node_modules inconsistent — the dev server crashed with MODULE_NOT_FOUND on next internals, and migrations 0011-0015 were unapplied so the marketing tables were missing","Reinstalled from the unchanged lockfile, applied all 5 migrations. Typecheck clean, lint 0 errors, all routes 200",DONE
21,"Client — accepted","Blue Tea PDP","Replaced the Health Benefits copy with the client's supplied 'Belly Fat' positioning","data/catalog.json + both Blue Tea products in DB","Previous weight-management copy","Client's copy, claim-for-claim verbatim. One substitution: their source names the product 'Belly Fat'; used 'Dishu Masala Blue Tea' instead, since that is the SKU being described",DONE
22,"Client sheet 2","Catalogue","Added the four Blue/Red tea combo products","data/catalog.json, seeded to DB","Did not exist","Blue Tea + Red Tea (loose) 52gm x2 ₹558 / 105gm x2 ₹1048; Blue Tea + Red Tea (teabags) 72 bags ₹698; Blue Tea Twin Pack 52gm x2 ₹598 / 105gm x2 ₹1098; Red Tea Twin Pack 52gm x2 ₹518 / 105gm x2 ₹998. All mrp = price per the sheet, so no Save % chip renders",DONE
23,"Client instruction","Taxonomy","Split tea combos from spice combos","data/catalog.json, lib/nav.ts","One 'Combo Packs' collection holding 7 spice combos","New 'Tea Combos' collection (Teas column) holds only the 4 tea combos. Existing collection retitled 'Spice Combos' and stays in the Masala column. Slug kept as `combos` so every legacy URL and redirect still resolves",DONE
24,"Client instruction","Navigation","Tea Combos added to the Teas pillar","lib/nav.ts","TEA_COLLECTION_SLUGS had 3 members","Now 4 — blue-tea, red-tea, classic-teas, tea-combos",DONE
25,"User ask — bluetea consistency","Section headings","Consolidated two hand-rolled headings onto the shared component","BlueTeaBand.tsx, MasalaBand.tsx","Both duplicated SectionHeading's exact markup and inline clamp() by hand — the page's two largest headings were the only ones a change to the shared type scale would not reach","Both now render <SectionHeading tone='light'>",DONE
26,"Own audit","Tooling","Registered 8 scripts that existed on disk but had no package.json entry","package.json","add-lucky10-coupon, cleanup-test-data, migrate-corporate-gifting-hero, migrate-gifting-images, set-support-email, set-trust-strip-thresholds, set-whatsapp-number, update-blue-tea-wellness-benefits were all unrunnable via pnpm","All 8 registered",DONE
27,"Own audit","Seed","Stopped the seed re-introducing the conflicting coupon copy","scripts/seed.ts","Seeding reset announcement_bar_text to the WELCOME5 5%-off string, silently undoing the offer-conflict fix","Default is now 'Free shipping over ₹499', kept in sync with HeaderClient",DONE
28,"Client — 'category circle images not visible'","Home","Root cause found and fixed","scripts/migrate-category-circles.ts","The script read its six source photos from ~/Downloads/category/ — a path outside the repo. It threw ENOENT here, so settings.category_circle_images was never written and every circle fell through to an empty grey disc","Reads data/category/ now, fails with an instruction instead of a stack trace, and data/category/README.md documents the 1-6 to collection mapping",DONE
29,"Client — 'category circle images not visible'","Home","Circles never render empty again","app/page.tsx, components/sections/CategoryCircles.tsx","Empty grey disc whenever no dedicated photo was migrated","Falls back to the collection's own lead product photo. Costs no extra query — those lists are already loaded for the homepage's sections. All 6 circles now load a real image. The dedicated photo still wins the moment it is migrated",DONE
30,"Own audit","Home","Fixed a stale responsive sizes hint","components/sections/CategoryCircles.tsx","sizes said 128/112/96px after the circles grew to 144/128/112px, so the browser picked a derivative narrower than the box and rendered soft","sizes now tracks the real sizes",DONE
31,"Client — 'banner at the top, not the bottom'","Collection pages","Banner moved to the top of every collection page","app/collections/[slug]/page.tsx","PromoBannerSlider rendered last, below the FAQ — per an earlier instruction the same day, now superseded","Banner is the first thing on the page, above the title block. Keeps the contained rounded-card frame the client chose on 2026-09-11",DONE
32,"Client — 'make other category pages top notch'","Collection pages","Header reworked so banner + title read as one hero, not two","app/collections/[slug]/page.tsx","Blue Tea and Red Tea rendered a full-height saturated gradient block directly under the banner — two competing heroes stacked","New belowBanner mode: compact title bar on the ivory ground, accent rule, smaller heading, tighter rhythm. The full gradient treatment still runs on any collection with no banner, where the header IS the hero",DONE
33,"Own audit","Collection pages","Tightened the product grid spacing","app/collections/[slug]/page.tsx","py-10 lg:py-14","py-8 sm:py-10 lg:py-12 — banner, title and products now read as one unit",DONE
34,"Own regression","Header","Fixed the nav wrapping onto two lines","components/layout/HeaderClient.tsx","Adding the 6th collection took the row to 9 items and every multi-word label broke mid-word ('Classic & Assam', 'Corporate Gifting')","whitespace-nowrap on every link, flex-nowrap on the row, tighter px at lg restored at xl, and a minimum gap before the icon cluster. Fits one line at 1440px",DONE
35,"Own regression","Header","Fixed the new collection sorting to the front of the nav","components/layout/HeaderClient.tsx","NAV_ORDER did not list tea-combos, so indexOf returned -1 and Tea Combos rendered first, ahead of Blue Tea","NAV_ORDER now lists it between Spice Combos and Classic & Assam",DONE
36,"Client — 'all category pages totally inconsistent'","Collection pages","Every collection banner now renders at one fixed size","components/hero/PromoBannerSlider.tsx (new frameRatio prop), app/collections/[slug]/page.tsx","Each banner used its own natural aspect ratio, and the source art ranges from 1200x400 to 1200x800 — so /collections/spices opened at 410px tall and /collections/classic-teas at 821px, exactly double. That is what 'one has large banner one has small' was","Fixed 12/5 desktop and 4/5 mobile frame on collection pages. Measured identical across all five: 1232x513 desktop, 358x448 mobile. Homepage deliberately not changed — its set is already consistent and signed off",DONE
37,"Own follow-up","Collection pages","Filled the letterbox so the fixed frame does not read as an inset picture","components/hero/PromoBannerSlider.tsx","A fixed frame plus object-contain leaves bars wherever a banner is a different shape. On plain cream those were obvious against dark artwork — Classic & Assam's sunset banner showed ~230px of cream each side","An over-scaled, heavily blurred copy of the same banner fills the bars, so the frame reads as one image fading at its edges. Same src, so no extra request. Only applied in fixed-frame mode",DONE
38,"Client — 'remove this type of content'","Collection pages","Removed the product count and price range line","app/collections/[slug]/page.tsx","Every collection header printed e.g. '2 products · ₹103.46 – ₹1,117'","Gone from both header variants. The now-dead priceRange computation, the productCount/minPricePaise/maxPricePaise props and the unused money import were all removed with it, not left orphaned",DONE
39,"Client bug list row 3","Collection pages","Added the benefit strip the client asked for","content/collection-benefits.ts (new), app/collections/[slug]/page.tsx","Did not exist","Scrolling strip directly under the banner: No preservatives / Plant-Based Teabags / Zero Caffeine / Farm-fresh Quality / All Natural. Reuses the shared MarqueeStrip, so it pauses on hover and freezes to a static list under prefers-reduced-motion",DONE
40,"Own safety check","Collection pages","Scoped the benefit strip so it cannot state something false","content/collection-benefits.ts","n/a","Renders only on blue-tea, red-tea and tea-combos. Classic Tea and Premium Assam Tea are black teas that DO contain caffeine (content/faq.ts says so), so 'Zero Caffeine' on /collections/classic-teas would be false, not merely loose. Guarded by an explicit slug set with that reasoning recorded. Verified: strip present on the 3 herbal pages, absent on classic-teas and spices",DONE
41,"Own judgement — flagged","Collection pages","Included tea-combos in the strip beyond the two pages named","content/collection-benefits.ts","Client named blue tea and red tea","tea-combos holds those same Blue and Red teas boxed together, so every claim holds verbatim and omitting it would give a visibly different page for the same goods. Called out rather than assumed — delete the third entry in COLLECTIONS_WITH_BENEFIT_STRIP if they want exactly the two they named",DONE
42,"Client bug list row 13 — 'Add Reviews'","Homepage","Built the homepage reviews rail","components/sections/HomepageReviews.tsx (new), lib/db/queries/reviews.ts (getHomepageReviews), app/page.tsx","Homepage had only a hardcoded empty state with no path to ever show a real review","Real approved reviews from across the catalogue: stars, Verified buyer badge where the row says so, title, body, author, and a link to the product reviewed. Horizontal scroll on phones, grid from sm. Verified rendering by temporarily approving a review, screenshotting, then restoring it to pending",DONE
43,"CLAUDE.md §8 constraint","Homepage","No reviews were invented to fill it","n/a","n/a","The reviews table holds exactly one row — an 'E2E Tester' fixture left by the Playwright suite. §8 bans fabricated reviews, so the homepage still shows its empty state and the rail stays dormant. It lights up on its own the first time a genuine review is approved, with no further code change. The fixture was NOT approved to pad the section",DONE
44,"Own bug — introduced and fixed","Caching","Review moderation now refreshes the homepage","app/admin/reviews/actions.ts","getHomepageReviews caches on the 'reviews' tag, but moderation only ever called updateTag('reviews:<productId>') and revalidatePath('/product/<slug>'). Approving a review would have left the homepage serving its cached 'no reviews yet' state indefinitely — the exact stale-storefront-after-admin-edit bug CLAUDE.md §3.4 names","updateTag('reviews') and revalidatePath('/') added to both the single-approve path and the bulk-approve path. Caught in testing, not shipped",DONE
